Cluster,Label,Top POI Preferences,Peak Time
3,Professional (Most frequent: Late Night (12AM-4AM)),"Trade School, Bus Station, Nightclub, Food Court, Train Station",Peaks during Late Night (12AM-4AM)
2,Students/Professionals (Most frequent: Late Night (12AM-4AM)),"General College & University, Nightclub, Food Court, Japanese Restaurant, Hotel",Peaks during Late Night (12AM-4AM)
15,High School Students (Most frequent: Night (8PM-12AM)),"High School, Bus Line, Bus Station, Subway, Food Court",Peaks during Morning (8AM-12PM)
21,General (Most frequent: Morning (8AM-12PM)),"Bus Station, Hotel, Multiplex, Church, High School",Peaks during Morning (8AM-12PM)
16,General (Most frequent: Morning (8AM-12PM)),"Bus Station, Trade School, Subway, Food Court, Train Station",Peaks during Morning (8AM-12PM)
22,General (Most frequent: Morning (8AM-12PM)),"Bus Station, Train Station, Food Court, Hotel, Coffee Shop",Peaks during Morning (8AM-12PM)
26,General (Most frequent: Morning (8AM-12PM)),"Bus Station, Gym, Bus Line, Asian Restaurant, Train Station",Peaks during Morning (8AM-12PM)
0,General (Most frequent: Noon (12PM-4PM)),"Nightclub, Chinese Restaurant, Food Court, Coffee Shop, Hotel",Peaks during Noon (12PM-4PM)
13,Foodies (Most frequent: Morning (8AM-12PM)),"Food Court, Multiplex, Asian Restaurant, Chinese Restaurant, Fast Food Restaurant",Peaks during Morning (8AM-12PM)
24,General (Most frequent: Late Night (12AM-4AM)),"Gym, Bus Station, Food Court, Subway, Coffee Shop",Peaks during Late Night (12AM-4AM)
9,General (Most frequent: Morning (8AM-12PM)),"Subway, Food Court, Chinese Restaurant, Train Station, Fast Food Restaurant",Peaks during Morning (8AM-12PM)
25,General (Most frequent: Noon (12PM-4PM)),"Bus Station, Bus Line, Multiplex, Train Station, High School",Peaks during Morning (8AM-12PM)
14,General (Most frequent: Night (8PM-12AM)),"Train Station, Food Court, Subway, Bus Station, Nightclub",Peaks during Morning (8AM-12PM)
5,General (Most frequent: Evening (4PM-8PM)),"Nightclub, Multiplex, Coffee Shop, Chinese Restaurant, Asian Restaurant",Peaks during Morning (8AM-12PM)
8,General (Most frequent: Early Morning (4AM-8AM)),"Hotel, Food Court, Chinese Restaurant, Church, Multiplex",Peaks during Morning (8AM-12PM)
20,General (Most frequent: Early Morning (4AM-8AM)),"Bus Station, Asian Restaurant, Train Station, Church, Multiplex",Peaks during Morning (8AM-12PM)
23,General (Most frequent: Morning (8AM-12PM)),"Bus Station, Caf, Train Station, Church, Multiplex",Peaks during Early Morning (4AM-8AM)
10,High School Students (Most frequent: Night (8PM-12AM)),"High School, Church, Bus Station, Food Court, Coffee Shop",Peaks during Night (8PM-12AM)
6,General (Most frequent: Morning (8AM-12PM)),"Japanese Restaurant, Food Court, Subway, Bus Station, Chinese Restaurant",Peaks during Morning (8AM-12PM)
18,Mall Visitors (Most frequent: Morning (8AM-12PM)),"Coffee Shop, Chinese Restaurant, Caf, Japanese Restaurant, Nightclub",Peaks during Morning (8AM-12PM)
12,Foodies (Most frequent: Noon (12PM-4PM)),"Food Court, Coffee Shop, Chinese Restaurant, Bus Station, Fast Food Restaurant",Peaks during Morning (8AM-12PM)
17,General (Most frequent: Morning (8AM-12PM)),"Church, Fast Food Restaurant, Food Court, Grocery Store, Trade School",Peaks during Morning (8AM-12PM)
19,High School Students (Most frequent: Night (8PM-12AM)),"High School, Church, Food Court, Fast Food Restaurant, Subway",Peaks during Late Night (12AM-4AM)
11,General (Most frequent: Noon (12PM-4PM)),"Nightclub, Caf, Chinese Restaurant, Coffee Shop, Multiplex",Peaks during Morning (8AM-12PM)
1,General (Most frequent: Morning (8AM-12PM)),"Chinese Restaurant, Japanese Restaurant, Multiplex, Food Court, Asian Restaurant",Peaks during Morning (8AM-12PM)
7,General (Most frequent: Morning (8AM-12PM)),"Gym, Nightclub, Multiplex, Church, Coffee Shop",Peaks during Morning (8AM-12PM)
4,General (Most frequent: Morning (8AM-12PM)),"Church, Food Court, Subway, Chinese Restaurant, Asian Restaurant",Peaks during Early Morning (4AM-8AM)
