original_category,group_category
Accessories Store,"Retail"
Afghan Restaurant,"Afghan Restaurant"
African Restaurant,"African Restaurant"
American Restaurant,"American Restaurant"
Aquarium,"Arts and Entertainment"
Arcade,"Arts and Entertainment"
Arepa Restaurant,"Latin American Restaurant"
Argentinian Restaurant,"Latin American Restaurant"
Art Gallery,"Arts and Entertainment"
Arts & Crafts Store,"Retail"
Asian Restaurant,"Asian Restaurant"
Australian Restaurant,"Australian Restaurant"
Automotive Shop,"Automotive Retail"
BBQ Joint,"Restaurant"
Bagel Shop,"Bakery"
Bakery,"Bakery"
Bar,"Bar"
Bed & Breakfast,"Breakfast Spot"
Beer Garden,"Bar"
Bike Rental / Bike Share,"Automotive Retail"
Bike Shop,"Automotive Retail"
Board Shop,"Retail"
Boutique,"Retail"
Bowling Alley,"Arts and Entertainment"
Brazilian Restaurant, "Latin American Restaurant"
Breakfast Spot,"Breakfast Spot"
Burger Joint,"Restaurant"
Burrito Place,"Restaurant"
Caf_x001A_,"Cafe, Coffee, and Tea House"
Caf_x001A__x001A_,"Cafe, Coffee, and Tea House"
Cajun / Creole Restaurant,"Restaurant"
Candy Store,"Retail"
Car Dealership,"Automotive Retail"
Car Wash,"Business and Professional Services"
Caribbean Restaurant,"Restaurant"
Chinese Restaurant,"Asian Restaurant"
Climbing Gym,"Sports and Recreation"
Clothing Store,"Retail"
Cocktail Bar,"Bar"
Coffee Shop,"Cafe, Coffee, and Tea House"
Comedy Club,"Arts and Entertainment"
Convenience Store,"Retail"
Cosmetics Shop,"Retail"
Cuban Restaurant,"Caribbean Restaurant"
Cupcake Shop,"Dessert Shop"
Deli / Bodega,"Restaurant"
Department Store,"Retail"
Dessert Shop,"Dessert Shop"
Dim Sum Restaurant,"Asian Restaurant"
Diner,"Restaurant"
Dive Bar,"Bar"
Donut Shop,"Dessert Shop"
Dumpling Restaurant,"Asian Restaurant"
Eastern European Restaurant,"European Restaurant"
Electronics Store,"Computers and Electronics Retail"
Falafel Restaurant,"Restaurant"
Farmers Market,"Retail"
Fast Food Restaurant,"Restaurant"
Ferry,"Travel and Transportation"
Filipino Restaurant,"Asian Restaurant"
Fish & Chips Shop,"Retail"
Fish Market,"Retail"
Flea Market,"Retail"
Flower Shop,"Retail"
Food,"Food Court"
Food & Drink Shop,"Retail"
Food Court,"Food Court
Food Truck,"Food Truck"
French Restaurant,"French Restaurant"
Fried Chicken Joint,"Restaurant"
Frozen Yogurt,"Dessert Shop"
Furniture / Home Store,"Retail"
Gaming Cafe,"Arts and Entertainment"
Gas Station / Garage,"Automotive Retail"
Gastropub,"Bar"
General Travel,"Travel and Transportation"
German Restaurant,"German Restaurant"
Gift Shop,"Retail"
Gourmet Shop,"Retail"
Grocery Store,"Retail"
Gym,"Sports and Recreation"
Gym / Fitness Center,"Sports and Recreation"
Hookah Bar,"Bar"
Hot Dog Joint,"Restaurant"
Ice Cream Shop,"Dessert Shop"
Indian Restaurant,"Indian Restaurant"
Indie Movie Theater,"Arts and Entertainment"
Indie Theater,"Arts and Entertainment"
Indonesian Restaurant,"Asian Restaurant"
Internet Cafe,"Arts and Entertainment"
Italian Restaurant,"Italian Restaurant"
Japanese Restaurant,"Asian Restaurant"
Jazz Club,"Arts and Entertainment"
Jewelry Store,"Retail"
Juice Bar,"Bar"
Karaoke Bar,"Bar"
Kids Store,"Retail"
Korean Restaurant,"Asian Restaurant"
Latin American Restaurant,"Latin American Restaurant"
Laundry Service,"Business and Professional Services"
Light Rail,"Travel and Transportation"
Liquor Store,"Retail"
Lounge,"Bar"
Mac & Cheese Joint,"Restaurant"
Malaysian Restaurant,"Asian Restaurant"
Market,"Retail"
Mediterranean Restaurant,"Mediterranean Restaurant"
Men's Store,"Retail"
Mexican Restaurant,"Mexican Restaurant"
Middle Eastern Restaurant,"Middle Eastern Restaurant"
Miscellaneous Shop,"Retail"
Mobile Phone Shop,"Computers and Electronics Retail"
Molecular Gastronomy Restaurant,"Restaurant"
Moroccan Restaurant,"Moroccan Restaurant"
Motel,"Travel and Transportation"
Motorcycle Shop,"Automotive Retail"
Movie Theater,"Arts and Entertainment"
Multiplex,"Arts and Entertainment"
Music Store,"Computers and Electronics Retail"
Nail Salon,"Business and Professional Services"
New American Restaurant,"American Restaurant"
Nightclub,"Arts and Entertainment"
Optical Shop,"Retail"
Other Nightlife,"Nightlife Spot"
Paella Restaurant,"Spanish Restaurant"
Park,"Landmarks and Outdoors"
Pet Store,"Retail"
Piano Bar,"Bar"
Pizza Place,"Restaurant"
Plaza,"Landmarks and Outdoors"
Portuguese Restaurant,"Portuguese Restaurant"
Pub,"Bar"
Public Art,"Arts and Entertainment"
Ramen /  Noodle House,"Asian Restaurant"
Record Shop,"Computers and Electronics Retail"
Rental Car Location,"Travel and Transportation"
Resort,"Travel and Transportation"
Restaurant,"Restaurant"
Rock Club,"Arts and Entertainment"
Salad Place,"Restaurant"
Salon / Barbershop,"Business and Professional Services"
Sandwich Place,"Restaurant"
Scandinavian Restaurant,"Scandinavian Restaurant"
Seafood Restaurant,"Restaurant"
Shoe Store,"Retail"
Skate Park,"Sports and Recreation"
Smoke Shop,"Retail"
Snack Place,"Snack Place"
Soup Place,"Restaurant"
South American Restaurant,"Latin American Restaurant"
Spa / Massage,"Business and Professional Services"
Spanish Restaurant,"Spanish Restaurant"
Speakeasy,"Bar"
Sporting Goods Shop,"Retail"
Sports Bar,"Bar"
Steakhouse,"Restaurant"
Sushi Restaurant,"Asian Restaurant"
Swiss Restaurant,"Swiss Restaurant"
Taco Place,"Mexican Restaurant"
Tailor Shop,"Retail"
Tanning Salon,"Business and Professional Services"
Tapas Restaurant,"Spanish Restaurant"
Tea Room,"Cafe, Coffee, and Tea House"
Thai Restaurant,"Asian Restaurant"
Theater,"Arts and Entertainment"
Thrift / Vintage Store,"Retail"
Train,"Travel and Transportation"
Turkish Restaurant,"Turkish Restaurant"
Vegetarian / Vegan Restaurant,"Restaurant"
Video Game Store,"Computers and Electronics Retail"
Video Store,"Computers and Electronics Retail"
Vietnamese Restaurant,"Asian Restaurant"
Water Park,"Arts and Entertainment"
Whisky Bar,"Bar"
Wine Bar,"Bar"
Wine Shop,"Food and Beverage Retail"
Wings Joint,"Restaurant"
Women's Store,"Retail"
Yoga Studio,"Sports and Recreation"
Zoo,"Arts and Entertainment"
